Emotion,MFCC_0,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,Chroma_0,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Zero-Crossing Rate,Spectral Centroid
Angry,-331.72025,27.351046,-10.15846,20.604172,-18.246422,-4.7951465,-1.1669279,-23.896345,-8.614861,-4.7226086,-19.348957,6.4558167,-13.115475,0.31827536,0.2755243,0.2410166,0.22073723,0.28291902,0.20643322,0.19516495,0.21814267,0.22863503,0.2986284,0.3404549,0.33567226,[0.18972678],[3306.86496437]
Angry,-333.5948,7.7879376,-7.0211797,16.893446,-24.487837,-5.96845,-4.134151,-19.65249,-10.249318,-3.0175402,-16.058645,8.954734,-6.7842007,0.47062844,0.3750255,0.27642545,0.23199302,0.2104798,0.25458854,0.25021324,0.2933713,0.35537508,0.3835752,0.38007912,0.47397593,[0.23931949],[3620.86979508]
Disgusted,-552.8275,59.571682,-7.2718296,14.85133,10.838693,-9.9232,2.515597,-5.0835366,-9.750592,0.19865385,1.8174685,-5.20284,-3.4751518,0.4375743,0.42539042,0.40856314,0.46518186,0.59608555,0.63755345,0.64571995,0.65645343,0.6487021,0.5540136,0.44747427,0.45365658,[0.3332575],[2879.33124247]
Disgusted,-584.1529,48.059223,1.9473695,7.9273944,-0.32814997,-6.6997848,-10.767588,-7.619088,-5.6991377,-1.0516715,-7.4607186,-3.229947,-1.8900542,0.4826426,0.43206975,0.40707266,0.3552234,0.33128908,0.33282122,0.35953793,0.44073406,0.42117286,0.38693595,0.38609263,0.46470737,[0.28239778],[2970.79698835]
Fearful,-566.02734,31.305124,-24.584505,2.322786,-9.488269,-8.973363,-10.463872,-16.33096,-5.3059998,-3.561721,-9.028213,-3.659047,-6.8744125,0.4768017,0.41672814,0.4015706,0.4708105,0.46711645,0.45885745,0.40426493,0.4457761,0.48941103,0.4456619,0.4500307,0.49860272,[0.28886596],[3331.11799981]
Fearful,-470.90134,112.85776,8.636135,67.38919,-11.253353,47.990852,-27.03745,20.72839,-6.384537,3.5434494,-5.4269567,-2.243229,6.3668613,0.33599308,0.3092021,0.260703,0.24827072,0.2650092,0.35379383,0.46829754,0.50237244,0.60169995,0.652939,0.69024897,0.46381658,[0.12596404],[2013.5665454]
Happy,-397.73712,132.52174,-6.9755964,38.96129,-7.768866,16.108894,-14.505628,5.4011946,-8.754238,-1.7486846,-4.8183994,-1.4397902,-4.975067,0.3979757,0.36567095,0.3434451,0.3661055,0.3885843,0.4119023,0.378837,0.48691815,0.5050871,0.55746466,0.43387038,0.37077436,[0.0598016],[1405.2229658]
Happy,-345.6287,112.96693,7.79486,54.38514,-11.740713,14.126982,-20.064646,8.546449,-16.608418,2.6336184,1.4402351,-3.4498193,3.218646,0.24806252,0.3316166,0.23384373,0.27701995,0.4117422,0.36018676,0.30908096,0.3027268,0.4839981,0.5747313,0.4963672,0.25975794,[0.09953425],[1756.85048881]
Neutral,-387.6645,76.84944,-11.147974,25.404957,-0.5255696,-7.622148,-6.2154794,-14.066342,-1.5354766,5.90881,-13.501693,9.154294,-2.610732,0.19740774,0.47585264,0.22167245,0.10681424,0.121849485,0.45572278,0.8246544,0.40291634,0.15815814,0.14335673,0.13187808,0.13004433,[0.11044179],[2167.33603091]
Neutral,-382.61078,39.006893,4.0787787,34.129116,4.654079,-12.741587,-2.2168703,-17.545218,-0.051887576,2.292775,-17.723589,19.288849,-4.3287745,0.26537433,0.32727194,0.54225916,0.23490624,0.10493244,0.110926844,0.2877117,0.64185846,0.41807708,0.23754497,0.17832914,0.19218941,[0.20438285],[3229.53413805]
Sad,-445.57297,143.21884,-9.740516,53.443695,-11.535704,34.854084,-23.599676,9.034778,-9.989614,-1.2114091,-7.919773,-5.0806007,-4.1813855,0.4554076,0.4169183,0.38211167,0.27658916,0.27595356,0.3612091,0.47583866,0.471823,0.5515876,0.6435559,0.40077558,0.33673254,[0.06524006],[1433.21020579]
Sad,-445.2736,151.69487,5.9747124,68.34566,-17.654795,32.015877,-23.444237,14.191145,-9.019185,10.9324045,-0.4450989,-1.8907584,8.474527,0.5093638,0.42074695,0.32013604,0.28194267,0.32665658,0.32163402,0.3531689,0.39695895,0.51674086,0.707612,0.4637696,0.2937545,[0.04057617],[1150.88694873]
Suprised,-395.04773,33.93472,-1.3867708,0.6074122,-0.30852816,-0.7967506,-12.821331,-10.980649,-10.188511,1.4207501,-4.58735,7.7713013,0.5776878,0.3446825,0.2866892,0.2856841,0.29414904,0.31587288,0.18512033,0.18374684,0.28364652,0.26111862,0.2976201,0.31220853,0.35827115,[0.25391118],[3623.89695525]
Suprised,-348.2316,54.69466,-14.238561,-2.047824,-9.491829,-5.9712896,-9.592006,-26.125723,-6.129836,1.8965954,-18.39081,13.161706,-11.366508,0.28802213,0.32074127,0.22553918,0.20359068,0.19311629,0.2235035,0.368572,0.39758936,0.37780866,0.36628377,0.25852397,0.22919548,[0.1659568],[2943.07994944]
