File Name,MFCC_0,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,Chroma_0,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Zero-Crossing Rate,Spectral Centroid
YAF_young_angry.wav,-331.72025,27.351042,-10.158461,20.60417,-18.246422,-4.7951465,-1.1669279,-23.896345,-8.614861,-4.7226086,-19.348957,6.4558167,-13.115475,0.31827533,0.27552426,0.2410166,0.22073725,0.282919,0.20643324,0.19516492,0.2181427,0.22863503,0.2986284,0.3404549,0.33567232,[0.18972678],[3306.86496437]
YAF_witch_angry.wav,-333.5948,7.7879386,-7.021179,16.893446,-24.487839,-5.96845,-4.134151,-19.65249,-10.249318,-3.0175402,-16.058645,8.954733,-6.7842,0.47062844,0.3750255,0.27642542,0.23199302,0.21047981,0.25458854,0.25021324,0.2933713,0.3553751,0.3835752,0.3800791,0.473976,[0.23931949],[3620.86979508]
YAF_young_disgust.wav,-410.93167,87.883026,6.9107094,19.681879,-4.4625106,5.159224,-5.4120183,-20.401484,-6.756527,0.33865148,-10.76535,1.431066,-8.218325,0.33219013,0.29859364,0.24796481,0.3014374,0.3797948,0.38252464,0.42797774,0.41426498,0.460132,0.44699088,0.37669173,0.35391563,[0.13824841],[2404.0191828]
YAF_white_disgust.wav,-405.9303,85.79717,10.459576,26.754562,-6.9966826,-4.3013625,-6.316656,-14.744813,-9.923929,-6.254042,-6.8834934,2.8358064,-9.765708,0.37575665,0.3747258,0.3445795,0.3175423,0.34331074,0.37422377,0.42540818,0.44607005,0.4174821,0.4135613,0.34731,0.33403876,[0.15595114],[2561.45759251]
YAF_yearn_fear.wav,-321.8324,34.751247,-8.09119,17.031418,7.543331,-2.7126305,-1.7321215,-11.321929,-8.064782,13.036413,-21.302137,6.3817205,-2.1559074,0.2813927,0.27392197,0.27514905,0.26517236,0.19294067,0.20886196,0.27380365,0.3513705,0.2315529,0.18428162,0.22971502,0.28634635,[0.19659745],[3311.52285496]
YAF_week_fear.wav,-324.68344,32.53411,-15.135625,20.437422,-3.1059802,-2.3275392,-6.0390882,-7.441597,-14.760567,1.6100338,-17.296635,1.3780018,-0.44500116,0.34470946,0.29518738,0.26998013,0.22996639,0.3535369,0.2792456,0.31754056,0.3287647,0.17582193,0.17386822,0.19856177,0.31490266,[0.19262361],[3175.84239754]
YAF_yearn_happy.wav,-322.14276,39.548233,-13.474186,26.816322,-4.977319,-4.0785675,-12.537218,-20.479893,8.677235,-13.246312,-12.503856,13.786124,-17.103611,0.20458086,0.1882777,0.2420054,0.3332728,0.18807985,0.107942455,0.09224899,0.2393051,0.32804105,0.26205868,0.3187885,0.30673647,[0.1629286],[2758.43512573]
YAF_wash_happy.wav,-323.79727,34.434383,-14.305996,22.659986,-21.19266,-0.118416496,0.8152141,-15.9471445,8.075154,-10.035558,-4.2269144,5.505368,-10.739443,0.34472978,0.36694556,0.4725755,0.30112794,0.19594191,0.1609845,0.16816646,0.17979701,0.26738748,0.3971188,0.3373502,0.30384463,[0.19829526],[3074.00626948]
YAF_whip_neutral.wav,-412.2617,87.34382,15.313894,33.303265,11.849329,2.6935048,3.3927267,-13.153159,0.8301898,9.135874,-11.984914,12.278263,-3.0184886,0.37986165,0.70880294,0.42169502,0.27377456,0.28992206,0.4223881,0.6264953,0.43369764,0.27735698,0.25792044,0.25112793,0.25500676,[0.0945638],[1837.72064932]
YAF_witch_neutral.wav,-413.77878,45.06592,3.3051903,38.145603,1.0898569,-4.7901626,-4.0850797,-16.892118,-0.1606709,7.125652,-15.471739,12.669119,0.83572173,0.25286224,0.45218956,0.5316418,0.2001969,0.14480297,0.20918305,0.54322994,0.53230447,0.23849943,0.21293464,0.20976742,0.23470733,[0.15763084],[2751.65070251]
YAF_tape_sad.wav,-400.6267,65.54301,25.91013,39.158016,0.2940422,1.0124471,-4.4816246,-13.1571455,1.4095346,-8.285,-7.1550455,3.856537,-5.803187,0.37273237,0.39606932,0.2794789,0.28090274,0.2941569,0.31556466,0.31183967,0.35876012,0.43248484,0.27067822,0.19873562,0.23692766,[0.12663888],[2479.25753172]
YAF_soap_sad.wav,-399.17618,58.64158,40.053135,24.82138,-4.023511,9.041362,-5.499652,-4.3709555,-4.774287,-4.4650073,-2.8762016,2.1088226,-6.1954446,0.51547354,0.40668538,0.2579006,0.20025864,0.2157334,0.3189066,0.3456518,0.37073871,0.39553243,0.30796736,0.31507194,0.4157712,[0.18556315],[2898.95123297]
YAF_wife_ps.wav,-381.1527,40.215252,-2.167958,7.4319625,-18.35588,-8.231514,-3.422656,-8.568979,-14.904888,3.9424937,-12.044376,9.240893,-3.799858,0.33952385,0.36358657,0.35316762,0.26964596,0.25261462,0.2368347,0.30329123,0.38155165,0.3781816,0.38390154,0.37536648,0.31731695,[0.19973028],[3292.11937473]
YAF_rose_ps.wav,-359.08133,46.312553,0.858903,-12.73091,-21.169113,-2.1954024,-3.6639569,-15.502726,-13.670297,2.6322799,-12.286509,9.278068,-3.9672422,0.31221938,0.3215232,0.31714594,0.33069184,0.2282553,0.22549081,0.2746635,0.30739346,0.40423682,0.34264234,0.2597403,0.30905697,[0.22592609],[3335.72740675]
